t,air_temperature,humidity,ambient_CO2,Wind,PARi,,date,
276,16.15,0.916803055,484.5,1.063333333,243.5333333,,2024/4/21 12:00,
277,15.25833333,0.932582105,500.6666667,1.246666667,223.5,,2024/4/21 13:00,
278,14.63333333,0.944906341,508.1666667,1.059166667,159.6916667,,2024/4/21 14:00,
279,14.50833333,0.957605733,503.1666667,1.385,83.275,,2024/4/21 15:00,
280,14.375,0.966429298,507.1666667,1.22,67.1,,2024/4/21 16:00,
281,14.49166667,0.970715945,502.1666667,0.955,27.4,,2024/4/21 17:00,
282,14.59166667,0.973864093,506.8333333,0.855,5.758333333,,2024/4/21 18:00,
283,14.73333333,0.971667164,510.8333333,0.751666667,0,,2024/4/21 19:00,
284,14.89166667,0.97390705,512.6666667,0.87,0,,2024/4/21 20:00,
285,14.96666667,0.975497403,520,0.839166667,0,,2024/4/21 21:00,
286,15.14166667,0.973326867,516.1666667,0.665833333,0,,2024/4/21 22:00,
287,15.30833333,0.971718915,518,0.785,0,,2024/4/21 23:00,
288,15.475,0.968228376,517.5,0.7075,0,,2024/4/22 0:00,
289,15.625,0.968063122,514.3333333,0.500833333,0,,2024/4/22 1:00,
290,15.775,0.972575997,518.3333333,0.383333333,0,,2024/4/22 2:00,
291,15.90833333,0.97464503,535.5,0.2075,0,,2024/4/22 3:00,
292,16.125,0.976331361,533.3333333,0.503333333,0,,2024/4/22 4:00,
293,16.25,0.975620767,526,0.400833333,11.38333333,,2024/4/22 5:00,
294,16.46666667,0.978641986,521.3333333,0.3825,101.3,,2024/4/22 6:00,
295,17.075,0.967429502,501.3333333,0.769166667,311.9916667,,2024/4/22 7:00,
296,17.9,0.921582968,490.6666667,0.954166667,520.475,,2024/4/22 8:00,
297,19,0.883111954,484.5,1.335,774.6,,2024/4/22 9:00,
298,20.55,0.809044533,481.1666667,1.63,1364.408333,,2024/4/22 10:00,
299,20.76666667,0.772077834,479.1666667,1.5775,950.1,,2024/4/22 11:00,
300,21.75833333,0.725366072,475,1.608333333,1249.35,,2024/4/22 12:00,
301,22.00833333,0.671893696,476,1.720833333,1016.216667,,2024/4/22 13:00,
302,21.775,0.655326768,472.8333333,2.1525,1097.358333,,2024/4/22 14:00,
303,21.31666667,0.648350204,473.3333333,2.055833333,703.1333333,,2024/4/22 15:00,
304,20.55,0.66005373,479.3333333,2.261666667,311.5333333,,2024/4/22 16:00,
305,19.55833333,0.651120223,482.3333333,1.965833333,93.58333333,,2024/4/22 17:00,
306,19.21666667,0.680643954,491.1666667,1.120833333,6.741666667,,2024/4/22 18:00,
307,18.675,0.748413067,506.1666667,0.6825,0,,2024/4/22 19:00,
308,18.34166667,0.759908235,497.8333333,1.434166667,0,,2024/4/22 20:00,
309,17.44166667,0.794142259,500.5,1.003333333,0,,2024/4/22 21:00,
310,17.08333333,0.814164597,505.6666667,0.8725,0,,2024/4/22 22:00,
311,16.60833333,0.841171799,508,0.4025,0,,2024/4/22 23:00,
312,16.3,0.878629866,574.3333333,0.194166667,0,,2024/4/23 0:00,
313,16.46666667,0.880231523,534.5,0.2725,0,,2024/4/23 1:00,
314,16.28333333,0.9031706,524,0.246666667,0,,2024/4/23 2:00,
315,15.90833333,0.935406478,556.1666667,0.175833333,0,,2024/4/23 3:00,
316,15.88333333,0.945496536,575.8333333,0.168333333,0,,2024/4/23 4:00,
317,15.95833333,0.952139899,609.6666667,0.115833333,10.5,,2024/4/23 5:00,
318,16.15,0.960930402,556.1666667,0.2975,50.43333333,,2024/4/23 6:00,
319,16.75833333,0.923016359,511.1666667,0.6625,134.8166667,,2024/4/23 7:00,
320,16.81666667,0.85858498,505.3333333,0.685833333,180.0916667,,2024/4/23 8:00,
321,17.38333333,0.837070631,499.1666667,0.794166667,325.575,,2024/4/23 9:00,
322,17.78333333,0.807471735,492.6666667,1.094166667,471.325,,2024/4/23 10:00,
323,18.06666667,0.78325559,492.5,1.07,405.3083333,,2024/4/23 11:00,
324,18.05833333,0.773440644,488.8333333,1.600833333,362.4416667,,2024/4/23 12:00,
325,17.55833333,0.798735862,491.8333333,1.440833333,209.1833333,,2024/4/23 13:00,
326,17.41666667,0.810767814,492.6666667,1.245,166.725,,2024/4/23 14:00,
327,17.24166667,0.834111158,493,0.8,110.025,,2024/4/23 15:00,
328,16.94166667,0.842305366,498.1666667,0.685,58.65,,2024/4/23 16:00,
329,16.89166667,0.898569571,506.5,1.116666667,41.54166667,,2024/4/23 17:00,
330,16.90833333,0.902071237,507.6666667,1.145,6.591666667,,2024/4/23 18:00,
331,16.675,0.916505537,509.3333333,1.035,0,,2024/4/23 19:00,
332,16.58333333,0.926671967,512.3333333,1.539166667,0,,2024/4/23 20:00,
333,16.13333333,0.937221363,510.6666667,1.223333333,0,,2024/4/23 21:00,
334,15.65,0.943251102,511.6666667,1.098333333,0,,2024/4/23 22:00,
335,15.49166667,0.947862357,511.5,1.149166667,0,,2024/4/23 23:00,
336,15.10833333,0.965017977,517.6666667,2.043333333,0,,2024/4/24 0:00,
337,15.1,0.965490425,520,1.990833333,0,,2024/4/24 1:00,
338,14.95833333,0.968615143,526.3333333,2.408333333,0,,2024/4/24 2:00,
