t,air_temperature,humidity,ambient_CO2,Wind,PARi,,date
319,16.75833333,0.923016359,511.1666667,0.6625,134.8166667,,4/23/2024 7:00
320,16.81666667,0.85858498,505.3333333,0.685833333,180.0916667,,4/23/2024 8:00
321,17.38333333,0.837070631,499.1666667,0.794166667,325.575,,4/23/2024 9:00
322,17.78333333,0.807471735,492.6666667,1.094166667,471.325,,4/23/2024 10:00
323,18.06666667,0.78325559,492.5,1.07,405.3083333,,4/23/2024 11:00
324,18.05833333,0.773440644,488.8333333,1.600833333,362.4416667,,4/23/2024 12:00
325,17.55833333,0.798735862,491.8333333,1.440833333,209.1833333,,4/23/2024 13:00
326,17.41666667,0.810767814,492.6666667,1.245,166.725,,4/23/2024 14:00
327,17.24166667,0.834111158,493,0.8,110.025,,4/23/2024 15:00
328,16.94166667,0.842305366,498.1666667,0.685,58.65,,4/23/2024 16:00
329,16.89166667,0.898569571,506.5,1.116666667,41.54166667,,4/23/2024 17:00
330,16.90833333,0.902071237,507.6666667,1.145,6.591666667,,4/23/2024 18:00
331,16.675,0.916505537,509.3333333,1.035,0,,4/23/2024 19:00
332,16.58333333,0.926671967,512.3333333,1.539166667,0,,4/23/2024 20:00
333,16.13333333,0.937221363,510.6666667,1.223333333,0,,4/23/2024 21:00
334,15.65,0.943251102,511.6666667,1.098333333,0,,4/23/2024 22:00
335,15.49166667,0.947862357,511.5,1.149166667,0,,4/23/2024 23:00
336,15.10833333,0.965017977,517.6666667,2.043333333,0,,4/24/2024 0:00
337,15.1,0.965490425,520,1.990833333,0,,4/24/2024 1:00
338,14.95833333,0.968615143,526.3333333,2.408333333,0,,4/24/2024 2:00
339,14.85,0.971332543,525.1666667,1.944166667,0,,4/24/2024 3:00
340,14.93333333,0.976908716,526.3333333,1.863333333,0,,4/24/2024 4:00
341,14.975,0.97698335,521.5,1.584166667,4.325,,4/24/2024 5:00
342,14.90833333,0.982295662,519.8333333,1.376666667,25.13333333,,4/24/2024 6:00
343,14.81666667,0.990584737,521.1666667,1.855833333,105.0666667,,4/24/2024 7:00
344,14.68333333,0.989531406,518.5,2.1075,147.225,,4/24/2024 8:00
345,14.80833333,0.994056464,509.3333333,1.789166667,230.5833333,,4/24/2024 9:00
